CÓDIGO,CÓDIGO_CORTO,ESTACIÓN,DIRECCION,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,VV (81),DV (82),T (83),HR (86),PB (87),RS (88),P (89),COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,NUM_VIA,COORDENADA_X_ETRS89,COORDENADA_Y_ETRS89,LONGITUD,LATITUD,,
28079004,4,Plaza España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",637,,,X,,,,,273600,PLAZA,DE,ESPAÑA,,439579,3291,4475049,263,-37122567,404238823
28079008,8,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,"3°40'56.22""O","40°25'17.63""N",672,,,X,X,,,,18900,CALLE,DE,ALCALA,,442117,2366,4474770,696,-36823158,404215533
28079016,16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,"3°38'21.17""O","40°26'24.20""N",695,,,X,X,,,,798700,CALLE,DEL,VIZCONDE DE LOS ASILOS,,445786,1729,4476796,19,-36392422,404400457
28079018,18,Farolillo,Calle Farolillo - C/Ervigio,"3°43'54.61""O","40°23'41.22""N",632,,,X,,,,,1903,CALLE,DEL,FAROLILLO,,437891,6961,4471832,769,-37318356,403947825
28079024,24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",646,X,X,X,X,X,X,X,905219,CARRETERA,DEL,TELEFERICO,,436598,5637,4474571,618,-37473445,404193577
28079035,35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces. ,"3°42'11.40""O","40°25'9.15""N",660,,,X,X,,,,145800,PLAZA,DEL,CARMEN,,440346,3619,4474524,357,-37031662,404192091
28079036,36,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",671,,,X,X,,,,522000,AVENIDA,DE,MORATALAZ,,445245,513,4473237,349,-36453104,404079517
28079038,38,Cuatro Caminos,Avd. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",699,,,X,X,,,,554550,AVENIDA,DE,PABLO IGLESIAS,,440033,4632,4477450,211,-37071303,404455439
28079039,39,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,"3°42'41.53""O","40°28'41.64""N",676,,,X,X,,,X,514425,AVENIDA,DE,MONFORTE DE LEMOS,,439689,496,4481081,619,-37115364,404782322
28079054,54,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",629,X,X,X,X,,X,X,31000516,AVENIDA,DE,LA GAVIA,,448033,2263,4469339,44,-36121394,403730118
28079056,56,Plaza Elíptica,Pza. Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N",605,X,X,X,X,X,,X,293200,PLAZA,,ELIPTICA,,438991,9161,4470741,548,-37187679,403850336
28079058,58,El Pardo,Avda. La Guardia,"3°46'28.62""O","40°31'4.97""N",612,,,X,X,,,,348500,AVENIDA,DE LA,GUARDIA,,434381,6,4485548,7,-37746101,405180701
28079059,59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),"3º 36' 33""O",40º 27' 55''N,660,X,X,X,X,X,X,X,,PARQUE,,JUAN CARLOS I,,447744,4666,4479077,678,-36163407,404607255
28079102,102,J.M.D. Moratalaz,C/ Fuente Carantona,3º 38' 13'' O,40º 23' 55'' N,687,X,X,X,X,X,X,X,315060,CALLE,DE LA,FUENTE CARRANTONA,8,445947,89,4472195,4,-363563705,4039979278
28079103,103,J.M.D. Villaverde,C/ Arroyo Bueno,3º 42' 39'' O,40º 20' 58'' N,594,X,X,X,X,X,X,X,74200,CALLE,DEL,ARROYO BUENO,53,439633,65,4466785,76,-370952476,403506278
28079104,104,E.D.A.R. La China,Embajadores,3º 40' 47'' O,40º 21' 57'' N,566,X,X,,,,,,262000,CALLE,DE,EMBAJADORES,,442177,66,4468453,71,-3679722,403658333
28079106,106,Centro Mpal. De Acústica,Autovía M-30 Km. 21.700,3º 44' 24'' O,40º 26' 32'' N,587,X,X,X,X,X,X,X,31001349,AUTOVÍA,,M-30,21,437130,68,4476974,19,-3739991,40442222
28079107,107,J.M.D. Hortaleza,Ctra. de Canillas,3º 39' 24'' O,40º 27' 46'' N,715,X,X,X,X,X,X,X,133455,CARRETERA,DE,CANILLAS,2,444215,2,4479200,2,-3656667,40462778
28079108,108,Peñagrande,C.D.M. Peñagrande,"3°43'4.37""O","40°28'35.88""N",660,X,X,X,X,X,X,X,514425,AVENIDA,DE,MONFORTE DE LEMOS,184,439037,69,4480778,49,-3717881,404766333
28079109,109,J.M.D.Chamberí,Plaza de Chamberí,"3°41'49.02""O","40°25'54.88""N",678,,,X,X,,,,227900,PLAZA,DE,CHAMBERI,4,440772,75,4475799,91,-369695,404319111
28079110,110,J.M.D.Centro,C/ Mayor,"3°42'38.85""O","40°24'56.16""N",647,,,X,X,,,,497800,CALLE,,MAYOR,72,439584,5,4473998,69,-3710792,404156
28079111,111,J.M.D.Chamartin,C/ Principe de Vergara,"3°40'40.64""O","40°26'41.61""N",704,,,X,X,,,,610450,CALLE,DEL,PRINCIPE DE VERGARA,42,442171,33,4474760,82,-36803686,404226491
28079112,112,J.M.D.Vallecas 1,Avda. Albufera,"3°39'59.24""O","40°23'47.30""N",607,,,X,X,,,,18600,AVENIDA,DE LA,ALBUFERA,42,443329,69,4471846,8,-3666456,40396472
28079113,113,J.M.D.Vallecas 2,Avda. Albufera,"3°39'59.24""O","40°23'47.30""N",607,,,X,X,,,,18600,AVENIDA,DE LA,ALBUFERA,,443329,69,4471846,8,-3666456,40396472
28079114,114,Matadero 01,Paseo de la Chopera,"3°41'51.47""O","40°23'33.16""N",570,,,X,X,,,,230600,PASEO,DE LA,CHOPERA,10,440680,48,4471430,55,-3697631,403925444
28079115,115,Matadero 02,Paseo de la Chopera,"3°41'51.47""O","40°23'33.16""N",570,,,X,X,,,,230600,PASEO,DE LA,CHOPERA,10,440680,48,4471430,55,-3697631,403925444
